"adventurous","adventurous"
"ambitious","ambitious"
"approachable","approachable"
"articulate","articulate"
"autonomous","autonomous"
"calm","calm"
"charismatic","charismatic"
"cheerful","cheerful"
"clever","clever"
"competitive","competitive"
"confident","confident"
"cooperative","cooperative"
"courteous","courteous"
"creative","creative"
"curiosity","curiosity"
"determined","determined"
"devoted","devoted"
"diligent","diligent"
"easygoing","easygoing"
"educated","educated"
"efficient","efficient"
"eloquent","eloquent"
"energetic","energetic"
"enthusiastic","enthusiastic"
"flexible","flexible"
"focused","focused"
"friendly","friendly"
"honest","honest"
"imaginative","imaginative"
"independent","independent"
"inexperienced","inexperienced"
"inquisitive","inquisitive"
"insightful","insightful"
"intuitive","intuitive"
"meticulous","meticulous"
"neurotic","neurotic"
"open-minded","open-minded"
"opinionated","opinionated"
"organized","organized"
"patient","patient"
"perceptive","perceptive"
"persuasive","persuasive"
"procedural","procedural"
"punctual","punctual"
"quiet","quiet"
"relaxed","relaxed"
"resourceful","resourceful"
"responsible","responsible"
"talkative","talkative"
"technological","technological"
